Run,Success,Time 1 (s),Time 2 (s)
1,Yes,11.055,29.242
2,Yes,10.914,29.341
3,Yes,10.963,29.456
4,Yes,11.009,29.457
5,Yes,10.979,29.483
6,Yes,10.969,28.921
7,Yes,11.075,29.652
8,Yes,10.970,29.427
9,Yes,11.738,29.582
10,Yes,11.148,29.680
11,Yes,10.860,29.362
12,Yes,11.116,29.486
13,Yes,11.138,29.622
14,Yes,11.000,29.582
15,Yes,11.061,29.967
16,Yes,10.941,29.501
17,Yes,11.044,29.520
18,Yes,10.794,29.224
19,Yes,11.074,29.544
20,Yes,11.127,28.757
21,Yes,11.123,29.603
22,Yes,11.244,29.686
23,Yes,11.171,29.754
24,Yes,11.178,29.649
25,Yes,11.162,29.727
26,Yes,11.273,29.809
27,Yes,11.156,29.577
28,Yes,11.185,29.609
29,Yes,11.151,29.565
30,Yes,11.136,29.648
31,Yes,11.107,29.542
32,Yes,11.186,29.518
33,Yes,11.244,28.933
34,Yes,11.202,29.636
35,Yes,11.180,29.695
36,Yes,11.125,30.416
37,No,Timeout,Timeout
38,Yes,18.941,
39,Yes,12.249,30.730
40,Yes,11.159,29.613
41,Yes,11.276,29.654
42,Yes,11.202,29.607
43,Yes,11.197,29.735
44,Yes,11.254,29.725
45,Yes,11.019,29.511
46,Yes,11.255,29.654
47,Yes,11.280,29.712
48,Yes,11.249,29.672
49,Yes,11.279,29.840
50,Yes,11.255,29.761
